iter	Logloss
0	0.6365685749
1	0.5928125834
2	0.5583454014
3	0.5307641895
4	0.509864339
5	0.490488553
6	0.4784371016
7	0.4665044776
8	0.4557082811
9	0.4465012764
10	0.4391675222
11	0.4330186066
12	0.4282761247
13	0.4244367779
14	0.4200863727
15	0.4155783029
16	0.4129248757
17	0.4098927295
18	0.4073271682
19	0.4054235353
20	0.4037030466
21	0.4020046787
22	0.3999642668
23	0.3979911442
24	0.3966093021
25	0.3950482151
26	0.393542604
27	0.3922377411
28	0.391072707
29	0.39000021
30	0.388891617
31	0.3879047083
32	0.3869193051
33	0.386220856
34	0.3854580517
35	0.3846705785
36	0.3840646279
37	0.3835528746
38	0.3829781944
39	0.3822714065
40	0.3817703855
41	0.381316077
42	0.3807787669
43	0.3800610537
44	0.3794417071
45	0.3786336958
46	0.3780594789
47	0.3775025186
48	0.3770324205
49	0.3767276694
50	0.3762059559
51	0.3758643752
52	0.3752253012
53	0.3748770032
54	0.3744389862
55	0.3738094863
56	0.3733588839
57	0.3729829058
58	0.3726253811
59	0.3719724092
60	0.3715108429
61	0.3709694792
62	0.3706892425
63	0.3704344468
64	0.3700515197
65	0.3696684768
66	0.3694612043
67	0.3692496467
68	0.3689283724
69	0.3686695618
70	0.3683455851
71	0.3680241565
72	0.367601543
73	0.3672473384
74	0.3668513241
75	0.3665112104
76	0.3662796551
77	0.3659176136
78	0.365539821
79	0.365262557
80	0.3648583583
81	0.3645167776
82	0.3641999816
83	0.3639021794
84	0.3635510246
85	0.3631957004
86	0.3626687751
87	0.362329781
88	0.361890104
89	0.3616580469
90	0.3613313679
91	0.3609900188
92	0.3605608038
93	0.3600757268
94	0.3597791215
95	0.3592863234
96	0.3589767466
97	0.3585330932
98	0.3582403097
99	0.3578207461
100	0.3573453205
101	0.3569968294
102	0.3565748723
103	0.3563371787
104	0.3560979024
105	0.3556635529
106	0.3552985001
107	0.3549461871
108	0.3546476129
109	0.3543560648
110	0.3539862636
111	0.3536590827
112	0.3530553327
113	0.352734097
114	0.3524091939
115	0.3520486966
116	0.3517528247
117	0.3514792281
118	0.3511447122
119	0.3508098489
120	0.3505914967
121	0.3502764765
122	0.3499180639
123	0.3496494474
124	0.3494080092
125	0.3490656178
126	0.3486830381
127	0.3483828039
128	0.3481271974
129	0.3477953067
130	0.3475135644
131	0.3472330575
132	0.3470638113
133	0.3466803438
134	0.346487587
135	0.3462644477
136	0.3460767482
137	0.3456942458
138	0.3453202365
139	0.3451234647
140	0.344886775
141	0.3445171281
142	0.3441426556
143	0.3438299904
144	0.3434536263
145	0.3432419528
146	0.3429993178
147	0.3425931888
148	0.3423185113
149	0.3421027843
150	0.3418099622
151	0.3415586024
152	0.3413167009
153	0.3410988892
154	0.3410685453
155	0.3408610798
156	0.3405635093
157	0.3403464697
158	0.3401083515
159	0.3398629369
160	0.3395237497
161	0.33919626
162	0.3388529035
163	0.3386429287
164	0.3384425666
165	0.3382096601
166	0.3378960298
167	0.3376835456
168	0.3373851257
169	0.337172796
170	0.3367559733
171	0.3364722236
172	0.3362072746
173	0.3359438313
174	0.3356563754
175	0.3355086711
176	0.3352970362
177	0.3351367465
178	0.3348004162
179	0.3344293796
180	0.3342432243
181	0.3340422831
182	0.3337586492
183	0.3334947812
184	0.3332034261
185	0.3331852816
186	0.3329675084
187	0.33265604
188	0.3323798569
189	0.3320961071
190	0.3318088442
191	0.3316668149
192	0.3314185821
193	0.3312000755
194	0.3310031493
195	0.3307626376
196	0.3305412355
197	0.3301999637
198	0.3299650111
199	0.3298212446
200	0.3295879135
201	0.3295694601
202	0.3292769083
203	0.3290414539
204	0.3288524804
205	0.3286189176
206	0.328423497
207	0.328184684
208	0.3279857503
209	0.3277633831
210	0.3277250865
211	0.3273510387
212	0.3273123561
213	0.3270401107
214	0.3268312168
215	0.3266041784
216	0.3263140973
217	0.3261035048
218	0.3258082892
219	0.3256504703
220	0.3255165095
221	0.3252692805
222	0.3249927885
223	0.3247881412
224	0.324431157
225	0.3242739557
226	0.3239742233
227	0.3237143124
228	0.3234609451
229	0.3232161675
230	0.3230358995
231	0.322807008
232	0.3226385533
233	0.3223355008
234	0.3221453305
235	0.3219331552
236	0.3216495791
237	0.321482051
238	0.3212017757
239	0.3210035755
240	0.3208267241
241	0.3205895903
242	0.3203562013
243	0.3201213646
244	0.3200111075
245	0.3198271528
246	0.3196122943
247	0.3194886991
248	0.319223422
249	0.3191164271
250	0.3188662448
251	0.3185800049
252	0.3183208854
253	0.3181333789
254	0.317821756
255	0.3175496072
256	0.3173747054
257	0.3172489289
258	0.3170290325
259	0.3168088079
260	0.3166216875
261	0.3163681465
262	0.3161629587
263	0.3160108341
264	0.315845545
265	0.3155895525
266	0.3153135817
267	0.3150379198
268	0.3148841158
269	0.3146262703
270	0.314573323
271	0.3145249118
272	0.314321828
273	0.3142164352
274	0.3140284655
275	0.3138771709
276	0.3137023269
277	0.3134671814
278	0.3132941519
279	0.3131465827
280	0.3130293767
281	0.3128085345
282	0.3126646521
283	0.3124803112
284	0.3123038845
285	0.3120779849
286	0.3118668326
287	0.3116833411
288	0.3114807399
289	0.311231542
290	0.3109302653
291	0.3107808624
292	0.3105057602
293	0.310297484
294	0.3101463052
295	0.3100590184
296	0.3099591076
297	0.3099266018
298	0.3097688022
299	0.3096419448
300	0.3094907467
301	0.3094006417
302	0.3092097766
303	0.3089549808
304	0.3087468205
305	0.3086035751
306	0.3081938172
307	0.3079980685
308	0.3078515996
309	0.3076310854
310	0.3074338311
311	0.307268349
312	0.3070570616
313	0.3068250431
314	0.3067694127
315	0.3067617881
316	0.3066463
317	0.3063644805
318	0.3061149351
319	0.3059438745
320	0.30578621
321	0.3056008075
322	0.3055881257
323	0.3054140925
324	0.3052772749
325	0.3050661998
326	0.304909539
327	0.3048014246
328	0.3046277388
329	0.3043181234
330	0.3042760049
331	0.3042140046
332	0.3040102067
333	0.3037962941
334	0.3035783858
335	0.3034553697
336	0.3033019518
337	0.3031195219
338	0.3029168049
339	0.3027279279
340	0.3024684995
341	0.3022449549
342	0.3020508855
343	0.3019566497
344	0.3016657965
345	0.3014539107
346	0.3012166032
347	0.3010070531
348	0.3008859479
349	0.3007444204
350	0.3004909759
351	0.3002358327
352	0.3001592782
353	0.2999145006
354	0.2997537477
355	0.2995241806
356	0.2994333806
357	0.2991652275
358	0.2989401
359	0.2987340436
360	0.2985882696
361	0.2984435186
362	0.2983030914
363	0.2980641046
364	0.2979242565
365	0.2978202535
366	0.2977754326
367	0.2976293304
368	0.2974303002
369	0.297260475
370	0.2970370269
371	0.2967882536
372	0.2966043954
373	0.2964709558
374	0.2963250273
375	0.2961881132
376	0.2960301592
377	0.2958308008
378	0.295609032
379	0.2955361643
380	0.2953726125
381	0.2952065127
382	0.2949659238
383	0.2947553313
384	0.2945440824
385	0.294360977
386	0.2941532412
387	0.2939818911
388	0.2938047502
389	0.2937310139
